category,product,description,currency,price,base,PPP,eX,valued
Devices,iPhone 12,64GB,INR,79900.0,INR,1.0,1.0,0.0
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,INR,92900.0,INR,1.0,1.0,0.0
Devices,PS5,Disk Version,INR,49990.0,INR,1.0,1.0,0.0
Devices,XBOX Series X,4k Variant,INR,49990.0,INR,1.0,1.0,0.0
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",INR,105999.0,INR,1.0,1.0,0.0
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,INR,4230.3,INR,1.0,1.0,0.0
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,INR,4199.0,INR,1.0,1.0,0.0
Softwares,iCloud ,iCloud 50GB,INR,75.0,INR,1.0,1.0,0.0
Content,Netflix ,Premium Plan per month,INR,799.0,INR,1.0,1.0,0.0
Content,Amazon Prime,per month,INR,129.0,INR,1.0,1.0,0.0
Content,Disney +,Yearly,INR,1499.0,INR,1.0,1.0,0.0
Content,YouTube Premium,Youtube Premium with YT music,INR,129.0,INR,1.0,1.0,0.0
Content,Spotify,Individual plan - 1 month,INR,119.0,INR,1.0,1.0,0.0
Content,Apple Music,Individual 1 month,INR,99.0,INR,1.0,1.0,0.0
Devices,iPhone 12,64GB,USD,902.6152,INR,88.52055671120984,72.3497,-0.22350965810790968
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,USD,1087.7112,INR,85.4087003976791,72.3497,-0.18049833513724445
Devices,PS5,Disk Version,USD,544.389112,INR,91.82769988978032,72.3497,-0.26922018874688236
Devices,XBOX Series X,4k Variant,USD,543.3112,INR,92.00988310198649,72.3497,-0.27173828090491714
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",USD,1360.989112,INR,77.88379720704188,72.3497,-0.07649094891951003
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,USD,57.695512,INR,73.32112764680899,72.3497,-0.013426837247549006
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,USD,76.205112,INR,55.10129031763643,72.3497,0.23840333384054901
Softwares,iCloud ,iCloud 50GB,USD,1.077912,INR,69.57896377440831,72.3497,0.038296443877330444
Content,Netflix ,Premium Plan per month,USD,19.45722263041881,INR,41.06444250428982,72.3497,0.432417238712948
Content,Amazon Prime,per month,USD,14.049434239529758,INR,9.181864394015463,72.3497,0.87309049803917
Content,Disney +,Yearly,USD,75.69822189566494,INR,19.802314538722925,72.3497,0.7262972128602755
Content,YouTube Premium,Youtube Premium with YT music,USD,12.978692138133725,INR,9.939368206521738,72.3497,0.8626204641274016
Content,Spotify,Individual plan - 1 month,USD,10.815576781778105,INR,11.002649456521738,72.3497,0.8479240486619608
Content,Apple Music,Individual 1 month,USD,10.815576781778105,INR,9.153464673913042,72.3497,0.8734830320801186
Devices,iPhone 12,64GB,GBP,799.0,INR,100.0,102.14569989347373,0.02100626747588452
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,GBP,999.0,INR,92.992992992993,102.14569989347373,0.08960442691200865
Devices,PS5,Disk Version,GBP,449.99,INR,111.09135758572413,102.14569989347373,-0.08757742814019287
Devices,XBOX Series X,4k Variant,GBP,449.0,INR,111.33630289532294,102.14569989347373,-0.089975427369277
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",GBP,1199.0,INR,88.40617180984154,102.14569989347373,0.1345091188171499
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,GBP,49.94,INR,84.70764917901482,102.14569989347373,0.1707174235689295
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,GBP,59.99,INR,69.99499916652775,102.14569989347373,0.31475334507938646
Softwares,iCloud ,iCloud 50GB,GBP,0.79,INR,94.9367088607595,102.14569989347373,0.07057557038849793
Content,Netflix ,Premium Plan per month,GBP,13.99,INR,57.11222301644031,102.14569989347373,0.440874916163854
Content,Amazon Prime,per month,GBP,7.99,INR,16.14518147684606,102.14569989347373,0.8419396852370327
Content,Disney +,Yearly,GBP,59.99,INR,24.987497916319384,102.14569989347373,0.7553739614846393
Content,YouTube Premium,Youtube Premium with YT music,GBP,12.0,INR,10.75,102.14569989347373,0.8947581737536576
Content,Spotify,Individual plan - 1 month,GBP,10.0,INR,11.9,102.14569989347373,0.8834997458296302
Content,Apple Music,Individual 1 month,GBP,10.0,INR,9.9,102.14569989347373,0.9030796204801126
Devices,iPhone 12,64GB,EUR,899.0,INR,88.87652947719688,87.87597957527849,-0.011385931704593677
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,EUR,1129.0,INR,82.28520814880426,87.87597957527849,0.06362115624196174
Devices,PS5,Disk Version,EUR,499.99,INR,99.9819996399928,87.87597957527849,-0.1377625617742757
Devices,XBOX Series X,4k Variant,EUR,499.99,INR,99.9819996399928,87.87597957527849,-0.1377625617742757
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",EUR,1299.0,INR,81.60046189376443,87.87597957527849,0.07141334539705668
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,EUR,59.49,INR,71.1094301563288,87.87597957527849,0.19079786649304686
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,EUR,69.0,INR,60.85507246376812,87.87597957527849,0.3074891141140914
Softwares,iCloud ,iCloud 50GB,EUR,0.99,INR,75.75757575757576,87.87597957527849,0.13790348484618098
Content,Netflix ,Premium Plan per month,EUR,15.99,INR,49.96873045653533,87.87597957527849,0.43137213720923717
Content,Amazon Prime,per month,EUR,7.99,INR,16.14518147684606,87.87597957527849,0.8162730981221623
Content,Disney +,Yearly,EUR,69.99,INR,21.417345335047866,87.87597957527849,0.7562775921410831
Content,YouTube Premium,Youtube Premium with YT music,EUR,12.0,INR,10.75,87.87597957527849,0.877668504499673
Content,Spotify,Individual plan - 1 month,EUR,10.0,INR,11.9,87.87597957527849,0.8645818793996382
Content,Apple Music,Individual 1 month,EUR,10.0,INR,9.9,87.87597957527849,0.8873412273996989
Devices,iPhone 12,64GB,JPY,85800.0,INR,0.9312354312354313,0.6828503338760293,-0.3637474934653777
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,JPY,104800.0,INR,0.8864503816793893,0.6828503338760293,-0.29816203888731385
Devices,PS5,Disk Version,JPY,49980.0,INR,1.0002000800320128,0.6828503338760293,-0.4647427560804238
Devices,XBOX Series X,4k Variant,JPY,49980.0,INR,1.0002000800320128,0.6828503338760293,-0.4647427560804238
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",JPY,152874.0,INR,0.6933749362219868,0.6828503338760293,-0.015412751263102153
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,JPY,6872.8,INR,0.6155133279012921,0.6828503338760293,0.09861166149325218
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,JPY,14282.400000000001,INR,0.2939982075841595,0.6828503338760293,0.5694543987181611
Softwares,iCloud ,iCloud 50GB,JPY,130.0,INR,0.5769230769230769,0.6828503338760293,0.15512514484935935
Content,Netflix ,Premium Plan per month,JPY,1980.0,INR,0.4035353535353535,0.6828503338760293,0.4090427528316697
Content,Amazon Prime,per month,JPY,400.0,INR,0.3225,0.6828503338760293,0.5277149559707919
Content,Disney +,Yearly,JPY,7000.0,INR,0.21414285714285713,0.6828503338760293,0.686398546622466
Content,YouTube Premium,Youtube Premium with YT music,JPY,1180.0,INR,0.10932203389830508,0.6828503338760293,0.8399033749053532
Content,Spotify,Individual plan - 1 month,JPY,980.0,INR,0.12142857142857143,0.6828503338760293,0.8221739590587699
Content,Apple Music,Individual 1 month,JPY,980.0,INR,0.10102040816326531,0.6828503338760293,0.8520606886287245
Devices,iPhone 12,64GB,CNY,6299.0,INR,12.684553103667248,11.214102517006832,-0.13112512431827628
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,CNY,7999.0,INR,11.613951743967997,11.214102517006832,-0.03565592755682134
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",CNY,10199.0,INR,10.393077752720854,11.214102517006832,0.07321359538499372
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,CNY,398.0,INR,10.550251256281408,11.214102517006832,0.05919789476854309
Softwares,iCloud ,iCloud 50GB,CNY,6.0,INR,12.5,11.214102517006832,-0.11466789081364559
Content,Apple Music,Individual 1 month,CNY,10.0,INR,9.9,11.214102517006832,0.11718303047559264
Devices,iPhone 12,64GB,ZAR,18999.0,INR,4.205484499184168,5.000843269396924,0.15904493049802626
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,ZAR,18999.0,INR,4.889731038475709,5.000843269396924,0.022218698914476143
Devices,PS5,Disk Version,ZAR,11999.99,INR,4.165836804864004,5.000843269396924,0.1669731322400786
Devices,XBOX Series X,4k Variant,ZAR,11999.0,INR,4.16618051504292,5.000843269396924,0.16690440179595145
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",ZAR,27999.0,INR,3.7858137790635378,5.000843269396924,0.24296492109018097
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,ZAR,1099.0,INR,3.820746132848044,5.000843269396924,0.23597962842998554
Softwares,iCloud ,iCloud 50GB,ZAR,14.99,INR,5.003335557038025,5.000843269396924,-0.0004983734756001112
Content,Netflix ,Premium Plan per month,ZAR,169.0,INR,4.727810650887574,5.000843269396924,0.05459731565278114
Content,YouTube Premium,Youtube Premium with YT music,ZAR,72.0,INR,1.7916666666666667,5.000843269396924,0.6417270907826846
Content,Spotify,Individual plan - 1 month,ZAR,60.0,INR,1.9833333333333334,5.000843269396924,0.6034002214245533
Content,Apple Music,Individual 1 month,ZAR,60.0,INR,1.65,5.000843269396924,0.6700556463952165
Devices,iPhone 12,64GB,BRL,7199.0,INR,11.098763717182942,13.387152561936933,0.17093917725719054
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,BRL,11699.1,INR,7.9407817695378276,13.387152561936933,0.4068356409027949
Devices,XBOX Series X,4k Variant,BRL,4599.0,INR,10.869754294411829,13.387152561936933,0.18804583393504493
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",BRL,8549.17,INR,12.398747480749593,13.387152561936933,0.0738323610352829
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,BRL,262.08,INR,16.14125457875458,13.387152561936933,-0.20572724513861584
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,BRL,279.63,INR,15.01627150162715,13.387152561936933,-0.12169271487367794
Softwares,iCloud ,iCloud 50GB,BRL,4.095,INR,18.315018315018317,13.387152561936933,-0.3681041005756933
Content,Netflix ,Premium Plan per month,BRL,45.9,INR,17.40740740740741,13.387152561936933,-0.3003069418138311
Content,Amazon Prime,per month,BRL,14.9,INR,8.657718120805368,13.387152561936933,0.3532815824164539
Content,YouTube Premium,Youtube Premium with YT music,BRL,17.0,INR,7.588235294117647,13.387152561936933,0.43317032811795075
Content,Spotify,Individual plan - 1 month,BRL,17.0,INR,7.0,13.387152561936933,0.47711061275997
Content,Apple Music,Individual 1 month,BRL,17.0,INR,5.823529411764706,13.387152561936933,0.5649911820440088
Devices,iPhone 12,64GB,AUD,1349.0,INR,59.2290585618977,57.259388877149405,-0.034399069277079475
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,AUD,1599.0,INR,58.098811757348344,57.259388877149405,-0.01466000417852742
Devices,PS5,Disk Version,AUD,749.95,INR,66.65777718514568,57.259388877149405,-0.16413706978536924
Devices,XBOX Series X,4k Variant,AUD,749.0,INR,66.74232309746328,57.259388877149405,-0.16561361213022385
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",AUD,1949.0,INR,54.38635197537199,57.259388877149405,0.05017582195893755
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,AUD,76.99,INR,54.94609689570075,57.259388877149405,0.04040022128793319
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,AUD,99.0,INR,42.41414141414141,57.259388877149405,0.25926311394727986
Softwares,iCloud ,iCloud 50GB,AUD,1.49,INR,50.33557046979866,57.259388877149405,0.12092022885898879
Content,Netflix ,Premium Plan per month,AUD,19.99,INR,39.96998499249625,57.259388877149405,0.3019488021736967
Content,Amazon Prime,per month,AUD,6.99,INR,18.454935622317596,57.259388877149405,0.6776959030786576
Content,Disney +,Yearly,AUD,89.99,INR,16.6574063784865,57.259388877149405,0.7090886454582124
Content,YouTube Premium,Youtube Premium with YT music,AUD,15.0,INR,8.6,57.259388877149405,0.8498062908346544
Content,Spotify,Individual plan - 1 month,AUD,12.0,INR,9.916666666666666,57.259388877149405,0.8268115175322082
Content,Apple Music,Individual 1 month,AUD,12.0,INR,8.25,57.259388877149405,0.8559188255099883
Devices,iPhone 12,64GB,RUB,79990.0,INR,0.9988748593574197,0.9819430177257666,-0.017243201821291132
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,RUB,99990.0,INR,0.9290929092909291,0.9819430177257666,0.053821970807676034
Devices,PS5,Disk Version,RUB,46999.0,INR,1.0636396519074873,0.9819430177257666,-0.08319895626014473
Devices,XBOX Series X,4k Variant,RUB,45590.0,INR,1.0965123930686553,0.9819430177257666,-0.11667619533385709
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",RUB,105990.0,INR,1.000084913671101,0.9819430177257666,-0.018475507863329854
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,RUB,4096.0,INR,1.0327880859375,0.9819430177257666,-0.051780059834320546
Softwares,iCloud ,iCloud 50GB,RUB,59.0,INR,1.271186440677966,0.9819430177257666,-0.29456232971858487
Content,Netflix ,Premium Plan per month,RUB,999.0,INR,0.7997997997997998,0.9819430177257666,0.1854926555186679
Content,YouTube Premium,Youtube Premium with YT music,RUB,199.0,INR,0.6482412060301508,0.9819430177257666,0.3398382652269246
Content,Spotify,Individual plan - 1 month,RUB,169.0,INR,0.7041420118343196,0.9819430177257666,0.28290949767619844
Content,Apple Music,Individual 1 month,RUB,169.0,INR,0.5857988165680473,0.9819430177257666,0.4034289098314593
Devices,iPhone 12,64GB,KRW,1090000.0,INR,0.07330275229357798,0.06527945455015344,-0.12290693601400027
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,KRW,1290000.0,INR,0.07201550387596899,0.06527945455015344,-0.10318789230446646
Devices,PS5,Disk Version,KRW,628000.0,INR,0.07960191082802548,0.06527945455015344,-0.21940220512823472
Devices,XBOX Series X,4k Variant,KRW,598000.0,INR,0.0835953177257525,0.06527945455015344,-0.28057622879687516
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",KRW,1452000.0,INR,0.07300206611570248,0.06527945455015344,-0.11830079798868187
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,KRW,62000.0,INR,0.06823064516129032,0.06527945455015344,-0.04520856725096434
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,KRW,89000.0,INR,0.047179775280898874,0.06527945455015344,0.27726456040389846
Softwares,iCloud ,iCloud 50GB,KRW,1100.0,INR,0.06818181818181818,0.06527945455015344,-0.04446059869319052
Content,Netflix ,Premium Plan per month,KRW,14500.0,INR,0.05510344827586207,0.06527945455015344,0.15588375154809642
Content,YouTube Premium,Youtube Premium with YT music,KRW,10450.0,INR,0.012344497607655502,0.06527945455015344,0.810897660026075
Content,Spotify,Individual plan - 1 month,KRW,10900.0,INR,0.01091743119266055,0.06527945455015344,0.8327585414447234
Content,Apple Music,Individual 1 month,KRW,13500.0,INR,0.007333333333333333,0.06527945455015344,0.8876624600516657
Devices,iPhone 12,64GB,CHF,879.0,INR,90.89874857792947,79.67717121191848,-0.14083804928471677
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,CHF,1079.0,INR,86.09823911028731,79.67717121191848,-0.08058855253897801
Devices,XBOX Series X,4k Variant,CHF,499.99,INR,99.9819996399928,79.67717121191848,-0.25483872129532914
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",CHF,1299.0,INR,81.60046189376443,79.67717121191848,-0.024138541223188703
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,CHF,58.15,INR,72.74806534823732,79.67717121191848,0.08696475738642528
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,CHF,69.95,INR,60.02859185132237,79.67717121191848,0.2466023713158253
Softwares,iCloud ,iCloud 50GB,CHF,1.0,INR,75.0,79.67717121191848,0.05870152191370526
Content,Netflix ,Premium Plan per month,CHF,21.9,INR,36.48401826484019,79.67717121191848,0.542101988437778
Content,Disney +,Yearly,CHF,99.0,INR,15.141414141414142,79.67717121191848,0.809965465501501
Content,Spotify,Individual plan - 1 month,CHF,13.0,INR,9.153846153846153,79.67717121191848,0.8851133139566472
Content,Apple Music,Individual 1 month,CHF,12.9,INR,7.674418604651162,79.67717121191848,0.9036810859632629
Devices,iPhone 12,64GB,AED,3399.0,INR,23.506913798175933,19.700394826412523,-0.19322044077309397
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,AED,4199.0,INR,22.124315313169802,19.700394826412523,-0.12303918312883266
Devices,PS5,Disk Version,AED,2099.0,INR,23.816102906145783,19.700394826412523,-0.20891500480057834
Devices,XBOX Series X,4k Variant,AED,2099.0,INR,23.816102906145783,19.700394826412523,-0.20891500480057834
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",AED,4899.0,INR,21.63686466625842,19.700394826412523,-0.09829599137016531
Softwares,iCloud ,iCloud 50GB,AED,3.69,INR,20.32520325203252,19.700394826412523,-0.03171552809603129
Content,Netflix ,Premium Plan per month,AED,56.0,INR,14.267857142857142,19.700394826412523,0.2757578074664738
Content,Amazon Prime,per month,AED,16.0,INR,8.0625,19.700394826412523,0.5907442428925067
Content,YouTube Premium,Youtube Premium with YT music,AED,24.0,INR,5.375,19.700394826412523,0.7271628285950045
Content,Spotify,Individual plan - 1 month,AED,20.0,INR,5.95,19.700394826412523,0.6979755963051677
Content,Apple Music,Individual 1 month,AED,20.0,INR,4.95,19.700394826412523,0.7487360002874925
Devices,iPhone 12,64GB,THB,29900.0,INR,2.6722408026755855,2.408417986719326,-0.1095419555123116
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,THB,32900.0,INR,2.82370820668693,2.408417986719326,-0.17243278461530687
Devices,PS5,Disk Version,THB,16990.0,INR,2.942319011183049,2.408417986719326,-0.22168121455984768
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",THB,41900.0,INR,2.5298090692124107,2.408417986719326,-0.050402830057933556
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,THB,1888.0,INR,2.240625,2.408417986719326,0.06966937950330132
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,THB,2099.0,INR,2.0004764173415914,2.408417986719326,0.16938154906134884
Softwares,iCloud ,iCloud 50GB,THB,37.28963210702341,INR,2.0112829159790486,2.408417986719326,0.1648945793172898
Content,Netflix ,Premium Plan per month,THB,419.0,INR,1.9069212410501193,2.408417986719326,0.20822662363202582
Content,YouTube Premium,Youtube Premium with YT music,THB,159.0,INR,0.8113207547169812,2.408417986719326,0.6631312508082794
Content,Spotify,Individual plan - 1 month,THB,129.0,INR,0.9224806201550387,2.408417986719326,0.6169765276451809
Content,Apple Music,Individual 1 month,THB,129.0,INR,0.7674418604651163,2.408417986719326,0.6813502204779236
Devices,iPhone 12,64GB,SGD,1200.0,INR,66.58333333333333,54.75479437540678,-0.2160274564603124
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,SGD,1449.0,INR,64.11318150448585,54.75479437540678,-0.17091447855536845
Devices,PS5,Disk Version,SGD,729.0,INR,68.57338820301783,54.75479437540678,-0.2523723079456526
Devices,XBOX Series X,4k Variant,SGD,699.0,INR,71.51645207439199,54.75479437540678,-0.3061221924068396
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",SGD,1798.0,INR,58.95383759733037,54.75479437540678,-0.07668813790321893
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,SGD,69.72,INR,60.67555938037866,54.75479437540678,-0.10813235758641082
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,SGD,108.0,INR,38.879629629629626,54.75479437540678,0.2899319580479972
Softwares,iCloud ,iCloud 50GB,SGD,1.3706666666666667,INR,54.717898832684824,54.75479437540678,0.0006738321847945539
Content,Netflix ,Premium Plan per month,SGD,19.98,INR,39.989989989989986,54.75479437540678,0.2696531793031157
Content,Amazon Prime,per month,SGD,8.99,INR,14.349276974416018,54.75479437540678,0.737935697903725
Content,Disney +,Yearly,SGD,119.98,INR,12.493748958159692,54.75479437540678,0.771823653057653
Content,YouTube Premium,Youtube Premium with YT music,SGD,12.0,INR,10.75,54.75479437540678,0.8036701603462073
Content,Spotify,Individual plan - 1 month,SGD,10.0,INR,11.9,54.75479437540678,0.782667433313476
Content,Apple Music,Individual 1 month,SGD,10.0,INR,9.9,54.75479437540678,0.8191939151095304
Devices,iPhone 12,64GB,HKD,6799.0,INR,11.751728195322842,9.329746191165293,-0.25959784484287685
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,HKD,7799.0,INR,11.911783561995128,9.329746191165293,-0.27675322757170684
Devices,PS5,Disk Version,HKD,3980.0,INR,12.56030150753769,9.329746191165293,-0.3462640087070683
Devices,XBOX Series X,4k Variant,HKD,3880.0,INR,12.8840206185567,9.329746191165293,-0.38096153470467287
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",HKD,9698.0,INR,10.92998556403382,9.329746191165293,-0.17152013999950588
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,HKD,408.0,INR,10.368382352941177,9.329746191165293,-0.11132523227260016
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,HKD,780.0,INR,5.383333333333334,9.329746191165293,0.4229925205863557
Softwares,iCloud ,iCloud 50GB,HKD,8.0,INR,9.375,9.329746191165293,-0.004850486594968562
Content,Netflix ,Premium Plan per month,HKD,93.0,INR,8.591397849462366,9.329746191165293,0.07913916697992263
Content,YouTube Premium,Youtube Premium with YT music,HKD,68.0,INR,1.8970588235294117,9.329746191165293,0.7966655485949005
Content,Spotify,Individual plan - 1 month,HKD,58.0,INR,2.0517241379310347,9.329746191165293,0.7800878935084115
Content,Apple Music,Individual 1 month,HKD,58.0,INR,1.706896551724138,9.329746191165293,0.8170479114061575
Devices,iPhone 12,64GB,CAD,1258.8849557522124,INR,63.46886555035359,57.56320840434284,-0.10259430128577063
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,CAD,1448.442477876106,INR,64.13785940344832,57.56320840434284,-0.11421620130905441
Devices,PS5,Disk Version,CAD,702.4667256637168,INR,71.16351305147953,57.56320840434284,-0.23626731421229508
Devices,XBOX Series X,4k Variant,CAD,667.9115044247787,INR,74.84524472003604,57.56320840434284,-0.30022712066878743
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",CAD,1917.8649557522124,INR,55.26927205279986,57.56320840434284,0.0398507382602723
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,CAD,78.04194690265486,INR,54.20546472625342,57.56320840434284,0.05833141986290147
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,CAD,88.08849557522123,INR,47.667972674301794,57.56320840434284,0.17190208823201214
Softwares,iCloud ,iCloud 50GB,CAD,1.4384070796460178,INR,52.14101144333702,57.56320840434284,0.09419553064030983
Content,Netflix ,Premium Plan per month,CAD,20.949285714285715,INR,38.13972518667531,57.56320840434284,0.33742878057162173
Content,Amazon Prime,per month,CAD,8.81436507936508,INR,14.635200475414411,57.56320840434284,0.7457542607317513
Content,Disney +,Yearly,CAD,99.27468253968254,INR,15.099519451002148,57.56320840434284,0.7376880151478323
Content,YouTube Premium,Youtube Premium with YT music,CAD,13.238095238095239,INR,9.744604316546761,57.56320840434284,0.8307147119372245
Content,Spotify,Individual plan - 1 month,CAD,11.031746031746032,INR,10.78705035971223,57.56320840434284,0.8126051229816716
Content,Apple Music,Individual 1 month,CAD,11.031746031746032,INR,8.974100719424461,57.56320840434284,0.8441000602956764
Devices,iPhone 12,64GB,INR,79900.0,USD,0.011296811013767208,0.013821757381163986,0.18267911219724664
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,INR,92900.0,USD,0.011708409041980623,0.013821757381163986,0.1529001183354145
Devices,PS5,Disk Version,INR,49990.0,USD,0.010889960232046409,0.013821757381163986,0.21211464419951198
Devices,XBOX Series X,4k Variant,INR,49990.0,USD,0.010868397679535907,0.013821757381163986,0.21367468840488102
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",INR,105999.0,USD,0.012839641053217483,0.013821757381163986,0.07105582169203106
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,INR,4230.3,USD,0.013638633666643028,0.013821757381163986,0.01324894580847702
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,INR,4199.0,USD,0.018148395332221956,0.013821757381163986,-0.3130309577676589
Softwares,iCloud ,iCloud 50GB,INR,75.0,USD,0.01437216,0.013821757381163986,-0.03982146435199985
Content,Netflix ,Premium Plan per month,INR,799.0,USD,0.024351968248333928,0.013821757381163986,-0.7618575971764852
Content,Amazon Prime,per month,INR,129.0,USD,0.10891034294209115,0.013821757381163986,-6.879630638757411
Content,Disney +,Yearly,INR,1499.0,USD,0.05049914736201797,0.013821757381163986,-2.6535981618977913
Content,YouTube Premium,Youtube Premium with YT music,INR,129.0,USD,0.10061001657468004,0.013821757381163986,-6.279104516173128
Content,Spotify,Individual plan - 1 month,INR,119.0,USD,0.09088719984687484,0.013821757381163986,-5.57566164276144
Content,Apple Music,Individual 1 month,INR,99.0,USD,0.10924825032099096,0.013821757381163986,-6.904078136248599
Devices,iPhone 12,64GB,USD,902.6152,USD,1.0,1.0,0.0
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,USD,1087.7112,USD,1.0,1.0,0.0
Devices,PS5,Disk Version,USD,544.389112,USD,1.0,1.0,0.0
Devices,XBOX Series X,4k Variant,USD,543.3112,USD,1.0,1.0,0.0
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",USD,1360.989112,USD,1.0,1.0,0.0
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,USD,57.695512,USD,1.0,1.0,0.0
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,USD,76.205112,USD,1.0,1.0,0.0
Softwares,iCloud ,iCloud 50GB,USD,1.077912,USD,1.0,1.0,0.0
